,recency,history_segment,history,mens,womens,zip_code,newbie,channel,treatment,target
68,9,1,154.15,0,1,1,0,2,0,0
69,10,6,1009.44,1,0,1,1,0,1,0
70,2,2,278.8,1,0,2,0,2,0,0
71,10,0,31.12,1,0,0,0,1,1,0
72,2,3,428.74,1,0,2,0,1,0,0
73,7,4,612.28,1,0,1,1,1,1,0
74,11,2,228.09,0,1,1,1,2,0,0
75,1,4,640.58,0,1,0,1,1,0,0
76,4,1,194.11,1,0,0,0,1,0,0
77,7,0,84.49,0,1,0,1,2,0,0
78,7,2,235.14,0,1,0,1,1,0,0
79,2,0,29.99,0,1,1,0,1,0,0
80,7,2,272.32,1,0,1,1,2,0,0
81,2,0,95.33,0,1,1,0,2,0,1
82,5,3,494.26,1,1,1,1,1,0,0
83,2,5,809.07,1,0,0,1,1,0,0
84,1,0,80.42,0,1,0,1,1,1,0
85,10,2,237.85,1,0,0,0,2,1,0
86,2,0,82.59,1,0,1,0,1,1,0
87,6,1,165.77,0,1,0,0,2,1,1
88,3,1,101.61,0,1,1,1,1,0,0
89,8,0,52.64,0,1,1,1,2,0,0
90,6,3,466.29,1,0,0,1,0,0,0
91,3,1,100.85,1,0,0,1,1,0,0
92,3,6,1397.57,1,0,1,1,0,0,0
93,2,5,770.58,0,1,1,1,1,0,0
94,3,6,1973.87,1,0,1,1,0,0,0
95,3,1,133.51,1,0,0,0,2,0,0
96,8,0,31.52,0,1,1,0,2,0,0
97,1,0,47.44,0,1,0,0,1,1,0
98,1,1,106.27,0,1,1,0,2,1,0
99,11,2,215.46,0,1,0,0,2,1,0
100,11,1,189.25,0,1,0,1,1,0,0
101,10,1,108.12,1,0,0,0,2,1,0
102,8,0,66.14,1,0,1,1,1,0,0
103,8,0,98.56,1,0,1,1,2,1,0
104,6,1,129.14,1,0,1,0,2,1,0
105,2,3,493.17,0,1,1,0,2,1,0
106,11,1,146.04,0,1,1,1,1,0,0
107,12,0,29.99,0,1,0,1,2,0,0
108,2,0,66.6,1,0,0,1,1,1,0
109,12,1,129.73,1,0,1,0,2,1,0
110,4,0,54.41,0,1,0,1,1,1,0
111,9,6,1172.42,1,1,1,1,2,0,0
112,5,2,244.34,0,1,0,1,2,0,0
113,2,2,287.04,1,1,0,1,1,1,0
114,4,0,29.99,0,1,0,1,2,1,0
115,9,1,151.01,1,0,1,0,2,0,0
116,11,0,35.43,1,0,0,1,1,0,0
117,5,0,84.17,1,0,0,1,2,1,0
118,3,2,313.6,0,1,1,0,1,0,0
119,1,1,117.27,0,1,2,0,1,0,0
120,5,0,29.99,0,1,1,0,2,0,0
121,3,6,1167.93,1,1,2,1,2,1,0
122,3,4,683.2,1,1,2,1,0,0,0
123,1,1,110.07,0,1,0,0,2,0,0
124,1,1,102.94,1,0,0,0,2,1,0
125,2,0,29.99,0,1,0,0,2,0,0
126,11,1,160.04,1,0,2,0,2,0,0
127,1,3,418.68,0,1,1,0,2,0,0
128,11,2,316.23,1,0,0,1,1,0,0
129,12,2,253.06,0,1,1,0,1,1,0
130,9,2,329.96,0,1,1,1,1,0,0
131,7,1,185.73,1,0,1,0,1,0,0
132,11,0,52.08,0,1,0,0,2,1,0
133,1,4,616.73,0,1,0,1,2,0,0
134,9,1,123.39,1,0,0,0,1,1,0
135,3,2,249.71,1,0,1,0,1,0,0
136,2,0,46.09,0,1,0,0,2,0,0
137,8,0,48.87,1,0,1,1,2,0,0
138,10,0,77.37,1,0,1,0,1,1,0
139,4,2,270.24,1,0,0,1,1,0,0
140,9,2,228.8,1,0,1,0,0,0,1
141,3,0,80.18,0,1,0,0,1,1,0
142,11,1,131.76,0,1,1,1,2,1,1
143,9,1,162.59,0,1,0,0,1,0,1
144,12,0,87.62,1,0,0,1,1,0,0
145,3,0,29.99,1,0,1,0,1,0,0
146,3,0,29.99,0,1,0,0,2,1,0
147,7,0,59.96,1,0,0,1,2,1,0
148,7,0,78.49,0,1,2,0,2,1,0
149,7,2,206.8,1,0,1,0,1,1,0
150,7,2,229.53,1,0,1,0,2,0,1
151,1,3,439.93,1,1,2,1,0,0,0
152,10,2,313.67,1,0,2,1,1,1,1
153,7,0,29.99,1,0,1,1,2,1,0
154,3,0,57.33,0,1,1,0,2,1,1
155,2,2,289.55,0,1,2,0,1,0,1
156,5,0,29.99,0,1,1,1,1,0,1
157,9,2,274.29,1,0,1,0,2,0,0
158,1,2,293.37,1,0,1,0,1,0,0
159,12,0,29.99,1,0,0,1,1,0,0
160,1,3,407.09,1,0,1,0,2,0,0
161,1,1,142.4,0,1,1,0,1,0,0
162,1,0,29.99,0,1,0,1,2,0,0
163,12,2,284.54,1,1,1,0,2,0,0
164,2,0,60.2,0,1,1,1,2,0,0
165,4,6,1089.77,1,0,0,1,0,0,0
166,1,4,747.31,0,1,2,1,2,1,0
167,6,1,136.63,1,0,0,1,2,1,0
168,10,0,29.99,1,0,2,1,2,1,0
169,11,0,54.11,1,0,0,1,2,1,0
170,1,5,790.36,1,1,0,1,0,0,0
171,4,0,36.49,1,0,0,1,2,0,0
172,12,2,271.89,1,0,2,0,2,0,0
173,5,3,399.46,1,0,1,0,2,1,0
174,3,0,39.83,0,1,0,1,1,0,1
175,10,1,153.58,1,0,1,0,1,1,0
176,5,2,269.99,1,1,1,0,1,0,0
177,2,0,29.99,1,0,0,1,2,1,0
178,4,2,292.61,1,0,1,0,0,0,0
179,2,4,576.02,0,1,1,1,2,1,0
180,6,0,29.99,1,0,1,0,2,0,0
181,9,1,116.3,1,0,2,1,2,0,1
182,5,0,29.99,1,0,1,0,2,0,0
183,3,0,29.99,0,1,0,1,2,0,0
184,7,5,968.65,1,1,1,1,2,1,0
185,7,0,39.78,0,1,1,0,2,0,0
186,9,2,311.81,1,0,0,0,0,1,1
187,1,4,720.17,1,1,0,1,1,0,0
188,4,0,69.08,0,1,0,0,1,0,0
189,12,0,80.56,1,0,0,0,2,1,0
190,1,2,301.19,1,0,1,1,2,0,0
191,10,2,307.64,0,1,0,0,0,0,0
192,7,3,481.56,1,0,1,0,2,0,0
193,10,0,29.99,0,1,1,0,2,0,0
194,1,5,895.43,0,1,1,1,2,1,0
195,5,3,425.1,1,0,2,1,1,0,0
196,10,0,36.28,1,0,0,1,2,0,0
197,4,3,413.46,0,1,2,0,1,1,0
198,7,0,32.42,1,0,1,0,1,0,0
199,10,1,170.32,1,0,0,1,1,1,0
200,1,1,150.93,1,0,1,0,2,0,0
201,11,2,223.39,1,0,2,1,1,1,0
202,1,4,506.51,1,0,0,1,0,0,0
203,8,4,575.62,1,1,0,1,0,0,0
204,3,0,29.99,0,1,1,0,2,1,1
205,2,1,145.76,0,1,1,1,2,0,1
206,1,0,29.99,1,0,2,1,1,1,0
207,8,3,428.0,1,0,1,1,0,0,0
208,6,4,604.39,1,1,0,1,1,0,0
209,8,1,171.88,1,0,1,0,1,0,0
210,4,3,370.86,0,1,1,0,0,1,0
211,8,1,138.62,0,1,0,1,2,1,0
212,7,0,29.99,1,0,1,1,2,0,0
213,1,2,209.98,1,0,1,0,2,0,1
214,3,1,166.0,0,1,0,0,2,0,0
215,10,0,88.37,0,1,0,0,1,1,1
216,8,2,336.76,0,1,1,0,1,0,0
217,1,0,60.71,0,1,2,1,1,1,0
218,4,3,356.73,0,1,1,0,2,0,0
219,4,0,52.12,1,0,0,0,1,0,0
220,7,3,406.7,0,1,1,1,1,0,0
221,6,2,277.81,1,0,1,1,0,0,0
222,1,1,181.98,0,1,0,1,2,0,0
223,2,1,112.13,1,0,0,1,2,1,0
224,5,0,29.99,0,1,2,1,2,0,0
225,5,3,439.26,1,0,1,0,0,1,0
226,8,0,64.16,0,1,1,0,2,1,0
227,5,0,29.99,0,1,1,0,2,0,1
228,6,0,29.99,0,1,0,1,2,0,0
229,2,4,591.95,0,1,0,1,0,1,0
230,8,1,130.31,1,0,1,1,1,0,0
231,3,0,65.26,1,0,0,0,2,0,1
232,10,1,132.46,1,0,0,0,1,1,0
233,4,2,225.89,1,1,2,1,2,1,0
234,2,1,115.56,0,1,1,1,2,0,0
235,8,1,104.94,0,1,0,0,1,0,0
236,7,0,69.44,1,0,2,0,2,0,1
237,10,0,47.47,0,1,1,0,1,1,0
238,1,2,215.08,0,1,1,0,2,1,1
239,2,2,224.89,1,1,0,0,0,0,0
240,9,2,201.75,1,1,1,0,1,1,0
241,5,3,354.03,1,0,0,0,2,0,0
242,10,1,151.43,1,0,0,0,2,0,0
243,11,1,120.14,1,0,0,0,2,0,0
244,5,1,159.41,0,1,1,1,1,1,1
245,5,2,290.86,1,0,0,1,2,0,0
246,4,0,87.2,0,1,1,1,1,1,1
247,11,0,81.06,1,0,0,0,2,0,0
248,10,0,55.11,1,0,0,1,2,0,0
249,1,4,513.83,0,1,1,1,0,0,0
250,4,5,770.38,0,1,2,1,0,0,0
251,1,0,33.5,1,0,1,0,2,0,0
252,2,0,56.25,1,0,1,1,1,0,0
253,2,6,1093.92,1,1,1,1,2,0,0
254,1,5,752.8,1,1,0,1,1,0,0
255,2,1,199.95,1,0,1,1,1,0,0
256,9,2,239.91,0,1,2,0,1,0,0
257,8,0,43.16,0,1,0,1,1,0,0
258,2,3,418.81,0,1,1,0,0,0,0
259,9,2,318.52,0,1,0,0,2,1,0
260,1,1,109.26,0,1,1,1,2,1,1
261,3,0,67.4,1,0,1,0,2,0,0
262,9,1,135.02,1,0,1,1,2,1,0
263,10,0,54.25,0,1,1,0,2,0,0
264,3,0,55.34,1,0,1,1,1,1,0
265,4,2,297.8,1,1,0,0,1,1,1
266,4,1,146.49,0,1,1,0,1,1,0
267,7,2,329.26,0,1,0,0,2,0,0
268,1,0,29.99,1,0,2,1,1,0,0
269,4,2,249.61,0,1,0,1,1,1,0
270,5,0,39.52,1,0,1,1,1,0,0
271,1,2,307.58,1,0,1,0,0,0,0
272,6,0,92.32,0,1,0,0,1,0,0
273,6,3,464.17,0,1,1,0,0,1,0
274,6,0,29.99,1,0,1,1,2,1,0
275,2,3,435.33,0,1,1,0,2,1,0
276,10,3,375.9,0,1,0,0,2,0,0
277,9,0,29.99,1,0,0,0,2,0,0
278,9,2,220.51,1,0,0,0,0,0,0
279,5,1,180.28,0,1,1,0,1,1,0
280,6,0,78.69,0,1,1,0,1,0,0
281,2,3,350.48,1,0,0,1,2,1,0
282,3,3,376.14,1,0,1,0,1,0,0
283,1,1,179.63,1,0,1,0,1,0,1
284,6,1,164.51,1,0,1,0,1,1,1
285,8,0,59.76,0,1,0,1,2,0,0
286,11,0,29.99,0,1,1,0,2,1,0
287,2,3,407.64,0,1,0,1,2,1,0
288,1,1,143.0,0,1,0,0,1,1,0
289,4,2,320.17,0,1,0,1,1,0,0
290,1,1,103.07,1,0,1,0,2,0,0
291,10,0,35.84,1,0,0,1,1,0,0
292,3,1,190.66,0,1,1,1,2,1,0
293,2,0,90.91,1,0,1,0,2,0,0
294,5,2,215.03,0,1,0,1,2,0,0
295,1,5,856.4,0,1,0,1,2,0,0
296,10,1,139.83,1,0,0,1,1,0,0
297,10,2,245.09,1,0,0,0,0,0,0
298,6,1,127.2,0,1,1,0,1,0,0
299,1,3,470.65,1,0,0,0,1,0,0
300,1,0,59.13,1,0,0,1,2,0,0
301,3,2,327.1,1,0,1,1,2,0,0
302,1,3,399.72,1,1,1,0,1,0,1
303,3,0,29.99,1,0,0,0,1,0,0
304,6,3,398.03,1,1,1,0,1,0,0
305,4,1,134.24,0,1,0,0,2,0,1
306,10,2,290.55,0,1,1,0,2,0,0
307,7,0,29.99,1,0,1,0,2,0,0
308,4,0,87.69,1,0,1,0,2,0,0
309,10,2,335.77,0,1,2,0,0,1,0
310,12,3,465.37,0,1,2,1,0,0,0
311,12,0,75.26,1,0,0,1,1,1,0
312,10,2,327.18,0,1,0,0,1,1,0
313,1,1,188.89,0,1,1,1,2,0,0
314,4,0,49.8,1,0,0,1,2,0,0
315,7,4,688.51,1,1,2,1,0,1,0
316,3,2,229.42,0,1,2,0,0,0,0
317,1,2,253.18,0,1,1,0,0,0,0
318,2,1,156.4,0,1,1,0,2,0,0
319,2,1,196.93,0,1,2,1,2,1,0
320,4,4,557.47,1,0,0,1,2,0,0
321,12,1,177.66,1,0,1,0,1,1,1
322,9,0,29.99,0,1,1,0,1,1,0
323,11,1,140.07,0,1,0,1,2,0,0
324,10,1,168.04,1,0,0,0,2,0,0
325,5,1,173.65,1,0,0,0,2,1,0
326,4,1,164.7,1,0,1,0,1,0,0
327,2,0,57.53,1,0,0,1,1,0,0
328,10,0,29.99,1,0,0,0,2,1,0
329,3,1,188.19,1,0,0,0,1,0,1
330,10,0,29.99,0,1,1,0,2,0,1
331,1,0,35.23,1,0,0,1,1,0,0
332,4,0,63.22,1,0,1,0,2,1,0
333,4,4,550.59,1,0,1,1,2,0,0
334,6,2,232.94,1,0,1,1,0,0,0
335,11,0,91.23,1,0,0,0,2,1,0
336,2,4,571.53,1,0,2,1,0,1,0
337,1,1,169.31,0,1,2,1,2,1,0
338,10,2,205.88,1,0,0,0,1,0,0
339,1,6,1281.48,1,0,0,1,1,0,0
340,3,0,29.99,1,0,0,0,2,0,1
341,3,4,542.16,1,0,0,1,1,0,1
342,7,3,424.6,0,1,1,1,1,1,0
343,6,4,507.25,0,1,0,1,1,0,0
344,10,0,29.99,1,0,2,0,2,0,0
345,2,3,373.14,0,1,0,0,0,1,1
346,7,0,60.02,1,0,1,1,1,0,0
347,1,0,68.5,0,1,0,0,1,0,0
348,11,0,37.45,0,1,0,0,1,0,0
349,2,0,38.34,1,0,0,0,2,1,0
350,5,4,545.73,1,0,1,1,0,1,0
351,4,0,70.39,0,1,1,1,2,0,0
352,6,0,98.8,0,1,2,1,1,0,1
353,9,0,29.99,1,0,0,0,2,1,0
354,5,4,556.5,0,1,2,1,2,0,0
355,4,0,29.99,1,0,0,0,1,1,0
356,6,1,136.26,0,1,2,1,2,0,0
357,2,5,936.63,1,0,0,1,1,1,0
358,9,1,172.14,0,1,0,0,1,0,0
359,2,2,203.52,1,1,0,1,0,0,1
360,1,3,422.81,0,1,0,0,1,1,1
361,10,2,320.11,0,1,2,0,2,0,0
362,12,0,29.99,0,1,1,0,1,1,0
363,8,2,267.25,0,1,1,0,1,0,0
364,11,1,164.9,0,1,1,0,1,1,0
365,11,2,265.39,0,1,1,0,0,1,0
366,9,4,744.22,1,0,2,1,2,0,0
367,3,0,99.25,1,0,1,1,1,0,0
368,5,0,62.49,1,0,2,0,2,0,0
369,4,0,72.66,0,1,1,1,1,0,0
370,10,2,333.65,0,1,1,0,2,0,0
371,7,2,340.18,0,1,0,0,1,0,0
372,4,2,300.58,0,1,1,1,2,1,0
373,10,0,62.63,0,1,1,1,1,0,0
374,10,3,357.28,0,1,1,0,2,1,0
375,5,2,283.55,1,0,0,1,1,0,0
376,9,0,48.93,1,0,2,1,1,1,0
377,9,0,54.34,1,0,1,0,1,0,1
378,5,2,247.82,1,0,0,0,1,0,0
379,11,1,178.56,1,0,0,0,1,0,0
380,2,0,86.38,1,0,0,1,2,0,0
381,7,2,233.4,1,1,0,0,0,0,0
382,2,1,189.67,1,0,2,1,2,1,0
383,1,6,1524.15,1,0,2,1,2,0,0
384,5,4,544.43,0,1,0,1,2,1,0
385,8,0,60.69,1,0,0,1,1,1,0
386,10,0,57.71,0,1,1,0,2,0,0
387,4,3,410.86,0,1,0,0,2,0,0
388,6,0,40.24,1,0,1,1,1,0,0
389,9,4,535.17,0,1,1,1,2,0,0
390,3,4,584.63,1,1,1,1,2,0,0
391,1,0,29.99,1,0,0,1,1,0,0
392,3,6,1570.59,1,1,0,1,2,1,0
393,5,1,119.47,1,0,1,0,1,0,0
394,7,0,68.86,0,1,1,0,1,0,0
395,3,0,68.81,0,1,0,0,1,0,0
396,9,1,165.62,0,1,0,0,2,0,0
397,1,4,686.08,1,1,0,1,2,0,0
398,3,2,263.07,0,1,1,0,2,1,0
399,5,4,568.26,0,1,1,1,0,1,0
400,7,1,145.89,0,1,0,0,1,0,0
401,2,1,190.4,0,1,2,1,2,1,1
402,5,5,964.59,0,1,1,1,1,0,0
403,10,1,158.55,0,1,1,0,1,1,0
404,7,4,578.35,0,1,1,1,2,0,1
405,7,0,93.33,1,0,0,0,2,0,0
406,9,1,157.76,1,0,0,0,1,1,0
407,2,5,762.0,1,0,1,1,2,1,0
408,5,0,29.99,1,0,1,0,1,1,0
409,2,2,235.19,1,0,0,1,0,1,0
410,5,0,42.3,0,1,0,0,1,0,0
411,4,3,474.94,0,1,0,1,2,0,0
412,7,2,291.88,1,0,0,0,0,0,0
413,3,0,80.51,1,0,1,1,2,1,0
414,2,2,224.69,1,1,0,0,2,1,0
415,6,0,32.17,1,0,0,1,1,0,0
416,4,4,553.42,1,0,2,1,2,1,1
417,1,2,219.3,0,1,1,0,1,1,0
418,1,2,200.26,1,0,1,0,0,0,0
419,8,6,1137.96,0,1,1,1,1,0,0
420,8,0,29.99,0,1,0,1,1,1,0
421,9,0,51.53,1,0,1,1,1,0,0
422,3,1,177.36,0,1,1,1,2,0,0
423,9,0,34.75,1,0,0,1,2,0,0
424,8,3,402.84,1,0,1,0,1,0,0
425,1,2,276.21,1,0,1,0,1,0,0
426,1,5,960.02,1,1,2,1,2,0,1
427,1,1,100.92,0,1,0,1,2,0,0
428,7,5,770.87,1,1,0,1,1,1,0
429,7,0,63.95,1,0,0,1,1,1,0
430,7,2,348.44,0,1,1,1,2,0,0
431,11,0,29.99,0,1,2,0,2,0,0
432,3,2,216.08,0,1,0,0,1,0,0
433,3,2,211.88,1,1,1,0,2,1,0
434,9,1,129.46,1,0,0,1,1,0,0
435,11,1,189.23,1,0,1,0,2,1,0
436,10,1,149.31,0,1,2,1,1,1,0
437,4,2,218.92,0,1,1,0,2,0,1
438,3,1,109.34,0,1,1,0,1,0,0
439,2,0,32.18,1,0,1,1,2,0,0
440,7,2,287.73,1,1,0,0,2,0,1
441,4,0,29.99,0,1,0,1,1,0,0
442,12,0,98.17,0,1,1,1,2,0,0
443,3,2,297.33,0,1,0,0,1,1,0
444,5,4,728.99,1,0,0,1,2,0,0
445,9,3,483.16,1,1,0,0,1,0,1
446,4,0,93.36,1,0,1,1,1,0,0
447,2,4,542.34,0,1,0,1,1,0,0
448,9,0,44.68,1,0,0,0,1,0,0
449,6,2,265.61,0,1,1,1,0,1,1
450,4,1,184.47,1,0,2,0,1,1,0
451,8,0,69.67,1,0,2,1,2,1,0
452,2,1,188.03,1,0,0,1,1,0,0
453,1,6,1873.15,0,1,0,1,1,1,0
454,1,1,132.46,1,0,0,0,1,0,0
455,8,1,167.05,0,1,0,0,1,0,0
456,3,1,179.31,0,1,0,0,2,0,0
457,1,1,101.99,0,1,1,0,2,1,1
458,1,2,290.03,1,1,0,0,2,0,1
459,1,0,89.59,0,1,1,1,2,0,0
460,4,0,29.99,0,1,1,1,2,1,0
461,2,5,851.45,1,1,2,1,2,0,1
462,1,2,248.43,1,0,1,1,1,0,0
463,3,1,141.2,0,1,1,1,1,0,0
464,9,0,69.9,1,0,1,1,2,1,0
465,7,0,29.99,1,0,0,0,2,0,0
466,6,1,113.6,1,0,1,1,1,0,0
467,10,0,29.99,0,1,0,0,2,1,0
468,9,2,302.52,1,0,0,0,1,0,0
469,3,0,73.99,0,1,1,0,1,0,0
470,1,0,79.5,0,1,1,0,2,0,0
471,12,1,103.6,1,0,2,0,1,0,0
472,1,1,137.29,0,1,0,0,1,0,0
473,8,0,34.8,0,1,1,1,1,1,0
474,6,1,114.74,1,0,0,0,2,0,1
475,8,2,244.94,1,0,1,0,1,1,0
476,1,3,452.72,0,1,2,0,2,1,0
477,5,0,29.99,0,1,0,0,2,0,0
478,1,3,386.11,1,1,0,0,0,0,0
479,8,0,45.78,1,0,1,0,1,0,0
480,6,3,358.77,0,1,1,0,2,0,0
481,5,1,141.74,1,0,1,0,2,0,0
482,9,2,205.33,1,0,1,1,0,0,0
483,1,4,629.85,1,0,0,1,2,0,1
484,9,0,64.09,1,0,1,0,1,1,0
485,4,1,162.56,0,1,0,1,1,1,0
486,9,3,383.77,0,1,1,1,1,0,1
487,6,0,64.33,1,0,2,0,2,0,1
488,11,1,143.65,0,1,0,1,1,1,0
489,12,0,63.28,1,0,0,1,1,0,0
490,6,1,108.83,1,0,0,0,1,0,0
491,4,1,121.87,1,0,2,0,2,0,0
492,10,3,489.29,0,1,1,0,1,0,0
493,2,1,199.97,0,1,1,0,1,0,0
494,4,4,614.83,1,0,0,1,0,0,0
495,5,1,103.44,0,1,2,1,2,1,1
496,9,1,199.38,0,1,0,1,1,0,0
497,4,2,224.04,1,0,0,0,2,0,0
498,3,0,80.65,0,1,1,1,2,1,1
499,3,0,66.47,1,0,2,1,2,0,0
500,9,0,33.63,0,1,2,0,1,0,0
501,6,4,528.03,1,1,0,1,0,1,0
502,10,0,29.99,1,0,1,0,2,1,0
503,2,1,109.81,1,0,0,1,2,0,1
504,10,4,507.15,0,1,2,1,2,1,0
505,10,1,161.43,0,1,1,1,2,0,1
506,12,0,90.15,1,0,1,0,2,0,0
507,1,4,567.13,0,1,2,1,1,1,0
508,1,4,681.12,1,0,2,1,1,0,0
509,9,1,198.54,0,1,0,0,1,0,0
510,11,2,301.0,1,1,1,1,2,0,0
511,2,3,378.5,0,1,0,0,2,0,1
512,10,1,131.95,0,1,1,0,1,0,1
513,6,1,179.51,0,1,0,0,1,1,0
514,10,3,375.34,1,0,2,0,2,0,0
515,8,0,29.99,1,0,1,0,1,1,0
516,1,2,286.31,1,1,1,0,2,0,0
517,7,4,600.13,1,1,0,1,1,0,0
518,6,1,107.42,0,1,0,1,2,0,0
519,1,6,1515.82,1,1,1,1,0,1,1
520,2,1,102.99,0,1,1,0,1,0,0
521,10,2,317.16,1,0,0,0,2,1,0
522,7,2,297.6,1,0,1,0,2,0,0
523,10,4,599.06,0,1,0,1,2,1,0
524,1,5,783.8,1,1,1,1,2,0,0
525,9,0,89.96,1,0,1,0,2,0,1
526,8,1,155.75,0,1,0,1,1,0,0
527,11,0,29.99,1,0,1,1,1,1,0
528,5,0,47.98,0,1,0,0,2,1,0
529,8,1,135.67,1,0,2,1,2,0,0
530,11,4,504.86,1,0,2,1,0,1,0
531,1,5,904.58,0,1,1,1,1,1,1
532,11,2,312.41,1,0,0,1,2,1,0
533,9,3,404.03,1,1,0,0,0,0,0
534,7,2,251.05,1,0,1,0,0,1,1
535,1,0,30.01,0,1,0,1,2,1,0
536,1,1,155.65,1,0,0,0,2,0,0
537,12,0,36.67,0,1,0,0,2,0,1
538,12,0,49.27,1,0,0,1,1,1,0
539,1,4,563.7,1,0,1,1,0,0,0
540,6,2,265.2,1,0,1,0,1,0,0
541,1,3,357.56,0,1,1,0,1,0,0
542,11,2,206.97,1,0,1,0,2,0,0
543,7,6,1222.53,1,1,2,1,1,0,1
544,5,0,67.55,1,0,1,0,1,0,0
545,9,1,108.59,1,0,2,1,2,0,0
546,1,4,615.04,1,1,1,1,1,0,0
547,7,1,153.17,1,0,2,0,1,0,0
548,9,0,40.16,1,0,0,1,1,1,0
549,4,1,127.51,1,0,0,1,2,0,0
550,8,0,60.9,0,1,2,1,1,0,0
551,1,2,234.17,1,0,2,1,1,0,0
552,12,1,145.27,1,0,0,1,2,0,0
553,11,1,112.61,0,1,0,0,2,0,0
554,5,1,168.1,1,0,1,0,2,0,0
555,1,4,745.63,1,1,0,1,0,1,0
556,6,0,29.99,0,1,1,0,2,1,0
557,5,0,37.79,0,1,1,0,2,0,0
558,8,5,772.55,1,0,1,1,2,1,0
559,4,0,70.16,0,1,1,0,2,0,0
560,7,1,115.07,0,1,1,0,1,1,0
561,3,2,248.26,0,1,1,1,0,1,0
562,6,0,65.1,1,0,0,0,1,0,0
563,1,4,585.14,1,0,1,1,0,1,0
564,9,2,297.59,0,1,1,1,1,0,1
565,7,3,409.76,1,1,0,0,0,0,0
566,9,0,60.15,0,1,1,0,2,0,0
567,1,1,111.37,0,1,1,1,2,0,0
568,7,0,29.99,0,1,0,0,1,0,0
569,1,0,87.0,0,1,2,1,1,0,0
570,2,0,46.47,0,1,1,1,2,0,0
571,11,2,297.25,0,1,0,1,1,1,0
572,9,1,129.29,0,1,0,1,2,0,0
573,5,1,150.06,1,0,2,1,2,1,0
574,3,4,708.62,0,1,1,1,1,0,0
575,3,0,29.99,1,0,0,1,1,0,0
576,2,4,531.69,0,1,0,1,1,1,0
577,10,1,113.33,0,1,0,0,2,0,0
578,4,4,737.33,0,1,1,1,2,0,0
